Event_Name,Race_Type,Date,Country,City,State,Location,Website_URL,Phone_Number,Details_URL
Wharf to Wharf Race,Road Racing,July 26th 2015, United States,Santa Cruz, California,,http://www.wharftowharf.com/,,http://www.runnerspace.com/eprofile.php?event_id=7372
500 Festival Mini Marathon,Road Racing,May 2nd 2015, United States,Indianapolis, Indiana,,http://www.500festival.com/mini-marathon/,,http://www.runnerspace.com/eprofile.php?event_id=233
First Night Saratoga 5k,Road Racing,December 31st 2015, United States,Saratoga, New York,,http://www.saratoga-arts.org/firstnight/5krun.php,,http://www.runnerspace.com/eprofile.php?event_id=5453
Chicago Half Marathon,Road Racing,September 27th 2015, United States,Chicago, Illinois,,http://www.chicagohalfmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=179
San Silvestre Vallecana 10K,Road Racing,December 31st 2015, Spain,Madrid,,,http://www.sansilvestrevallecana.com/,,http://www.runnerspace.com/eprofile.php?event_id=7392
Rock 'n' Roll Vancouver Half Marathon,Road Racing,October 25th 2015, Canada,Vancouver, British Columbia,,http://runrocknroll.competitor.com/vancouver,,http://www.runnerspace.com/eprofile.php?event_id=10559
Marseille Cassis,Road Racing,October 25th 2015, France,Marseille,,,http://www.marseille-cassis.com/en/,,http://www.runnerspace.com/eprofile.php?event_id=9702
Bupa Great South Run,Road Racing,October 25th 2015, United Kingdom,Portsmouth,,,http://www.greatrun.org/Events/event.aspx?id=12,,http://www.runnerspace.com/eprofile.php?event_id=9695
USATF Masters 5 km Championships,Road Racing,October 18th 2015, United States,Syracuse, New York,,http://www.usatf.org/Events---Calendar/2014/USA-Masters-5-km-Championships.aspx,,http://www.runnerspace.com/eprofile.php?event_id=7393
Rock 'n' Roll Denver Half Marathon,Road Racing,October 18th 2015, United States,Denver, Colorado,,http://runrocknroll.competitor.com/denver,,http://www.runnerspace.com/eprofile.php?event_id=4811
Bupa Great Birmingham Run,Road Racing,October 18th 2015, United Kingdom,BIrmingham,,,http://www.greatrun.org/Events/event.aspx?id=14,,http://www.runnerspace.com/eprofile.php?event_id=9700
Komen Race for the Cure - Dallas,Road Racing,October 17th 2015, United States,Dallas, Texas,,http://www.komen-dallas.org/,,http://www.runnerspace.com/eprofile.php?event_id=403
Seattle Marathon and Half,Road Racing,November 29th 2015, United States,Seattle,,,http://www.seattlemarathon.org,,http://www.runnerspace.com/eprofile.php?event_id=205
YMCA Buffalo Turkey Trot 8K,Road Racing,November 26th 2015, United States,Buffalo, New York,,http://www.ymcabuffaloniagara.org/turkeytrot.html,,http://www.runnerspace.com/eprofile.php?event_id=204
Baltimore Running Festival,Road Racing,October 17th 2015, United States,Baltimore, Maryland,,http://www.thebaltimoremarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=393
Tufts 10k for Women,Road Racing,October 12th 2015, United States,Boston, Massachusetts,,http://www.tufts-healthplan.com/tufts10k/index.php,,http://www.runnerspace.com/eprofile.php?event_id=188
Boston Half Marathon,Road Racing,October 12th 2015, United States,Boston, Massachusetts,,http://www.baa.org/Races/Half-Marathon.aspx,,http://www.runnerspace.com/eprofile.php?event_id=5004
Komen Race for the Cure - Phoenix,Road Racing,October 11th 2015, United States,Phoenix, Arizona,,http://www.komenphoenix.org/,,http://www.runnerspace.com/eprofile.php?event_id=400
Mile High United Way Turkey Trot 4 Mile,Road Racing,November 26th 2015, United States,Denver, Colorado,,http://www.unitedwaydenver.org/turkey-trot,,http://www.runnerspace.com/eprofile.php?event_id=7398
Thanksgiving Day Race 10K,Road Racing,November 26th 2015, United States,Cincinnati, Ohio,,http://thanksgivingdayrace.com/,,http://www.runnerspace.com/eprofile.php?event_id=7399
Silicon Valley Turkey Trot,Road Racing,November 26th 2015, United States,San Jose, California,,http://www.svturkeytrot.com/,,http://www.runnerspace.com/eprofile.php?event_id=1046
Fifth Third Turkey Trot,Road Racing,November 26th 2015, United States,Detroit, Michigan,,http://www.theparade.org/turkeytrot/,,http://www.runnerspace.com/eprofile.php?event_id=7396
Manchester Road Race,Road Racing,November 26th 2015, United States,Manchester, Connecticut,,http://www.manchesterroadrace.com/,,http://www.runnerspace.com/eprofile.php?event_id=469
Army Ten Miler,Road Racing,October 11th 2015, United States,Washington, District Of Columbia,,http://www.armytenmiler.com/,,http://www.runnerspace.com/eprofile.php?event_id=392
Komen Race for the Cure - Little Rock,Road Racing,October 10th 2015, United States,Little Rock, Arkansas,,http://www.komenarkansas.org/,,http://www.runnerspace.com/eprofile.php?event_id=399
Carrera de la Mujer,Road Racing,October 5th 2015, Colombia,Bogota,,,http://www.carreradelamujer.com/,,http://www.runnerspace.com/eprofile.php?event_id=9691
Great Ethiopian Run 10K,Road Racing,November 22nd 2015, Ethiopia,Addis Ababa,,,http://www.ethiopianrun.org/,,http://www.runnerspace.com/eprofile.php?event_id=7388
Great Scottish Run,Road Racing,October 4th 2015, United Kingdom,Glasgow,,,http://www.greatscottishrun.com/,,http://www.runnerspace.com/eprofile.php?event_id=9692
St George Marathon,Road Racing,October 3rd 2015, United States,St. George, Utah,,http://www.stgeorgemarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=180
Komen Race for the Cure - Des Moines,Road Racing,October 4th 2015, United States,Des Moines, Iowa,,http://www.komendesmoines.org/,,http://www.runnerspace.com/eprofile.php?event_id=404
Zevenheuvelenloop 15K,Road Racing,November 14th 2015, Netherlands,Nijmegen,,,http://www.zevenheuvelenloop.nl/,,http://www.runnerspace.com/eprofile.php?event_id=7395
Komen Race for the Cure - San Diego,Road Racing,November 1st 2015, United States,San Diego, California,,http://www.komensandiego.org/,,http://www.runnerspace.com/eprofile.php?event_id=310
Rock 'n' Roll San Jose Half Marathon,Road Racing,September 27th 2015, United States,San Jose, California,,http://runrocknroll.competitor.com/san-jose,,http://www.runnerspace.com/eprofile.php?event_id=376
Komen Race for the Cure - Denver,Road Racing,September 27th 2015, United States,Denver, Colorado,,http://www.komendenver.org/,,http://www.runnerspace.com/eprofile.php?event_id=377
City of Pittsburgh Great Race,Road Racing,September 27th 2015, United States,Pittsburgh, Pennsylvania,,http://www.rungreatrace.com/,,http://www.runnerspace.com/eprofile.php?event_id=7376
York White Rose Run 5 Mile,Road Racing,September 26th 2015, United States,York, Pennsylvania,,http://www.yorkwhiteroserun.com/,,http://www.runnerspace.com/eprofile.php?event_id=7394
Kaiser Permanente Atlanta 5K,Road Racing,September 24th 2015, United States,Atlanta, Georgia,,http://www.kpcorporaterunwalk.com/,,http://www.runnerspace.com/eprofile.php?event_id=354
CVS Downtown 5k,Road Racing,September 20th 2015, United States,Providence, Rhode Island,,http://www.cvsdowntown5k.com/,,http://www.runnerspace.com/eprofile.php?event_id=347
Briggs and Al's Run and Walk,Road Racing,September 19th 2015, United States,Milwaukee, Wisconsin,,http://www.alsrun.com/,,http://www.runnerspace.com/eprofile.php?event_id=321
New Haven Road Race,Road Racing,September 7th 2015, United States,New Haven, Connecticut,,http://www.newhavenroadrace.org/,,http://www.runnerspace.com/eprofile.php?event_id=290
Great Cow Harbor 10k,Road Racing,September 19th 2015, United States,Northport, New York,,http://www.cowharborrace.com/,,http://www.runnerspace.com/eprofile.php?event_id=328
Prague Grand Prix 10K,Road Racing,September 6th 2015, Czech Republic,Prague,,,http://www.runczech.com/en/,,http://www.runnerspace.com/eprofile.php?event_id=9690
Tjejmilen 10K,Road Racing,September 5th 2015, Sweden,Stockholm,,,http://www.tjejmilen.se/Start/index.cfm?Lan_ID=3,,http://www.runnerspace.com/eprofile.php?event_id=6747
Disneyland Half Marathon Weekend,Road Racing,September 6th-7th 2015, United States,Anaheim, California,,http://www.rundisney.com/disneyland-half-marathon/,,http://www.runnerspace.com/eprofile.php?event_id=177
Milford Labor Day 30k,Road Racing,September 5th 2015, United States,Milford, Michigan,,http://www.laborday30k.com/,,http://www.runnerspace.com/eprofile.php?event_id=295
Charleston Distance Run,Road Racing,September 5th 2015, United States,Charleston, West Virginia,,http://www.charlestondistancerun.com/,,http://www.runnerspace.com/eprofile.php?event_id=293
NYRR 4M,Road Racing,April 26th 2015, United States,New York, New York,,http://www.nyrr.org/races-and-events,,http://www.runnerspace.com/eprofile.php?event_id=7351
Bupa Great North Run,Road Racing,September 7th 2014, United Kingdom,Newcastle/Gateshead,,,http://www.greatrun.org/Events/Event.aspx?id=1,,http://www.runnerspace.com/eprofile.php?event_id=415
Emerald Across the Bay 12k,Road Racing,April 26th 2015, United States,San Francisco, California,,http://rhodyco.com/eab12k-2012.html,,http://www.runnerspace.com/eprofile.php?event_id=266
Rock 'n' Roll Virginia Beach Half Marathon,Road Racing,September 6th 2015, United States,Virginia Beach, Virginia,,http://runrocknroll.competitor.com/virginia-beach,,http://www.runnerspace.com/eprofile.php?event_id=178
Pat's Run 4.2 Mile,Road Racing,April 25th 2015, United States,Tempe, Arizona,,http://www.pattillmanfoundation.org/pats-run/,,http://www.runnerspace.com/eprofile.php?event_id=7350
Freihofer's Run for Women 5K,Road Racing,May 30th 2015, United States,Albany, New York,,http://www.freihofersrun.com/,,http://www.runnerspace.com/eprofile.php?event_id=5357
Vancouver Sun Run 10k,Road Racing,April 19th 2015, Canada,Vancouver, British Columbia,,http://www.sunrun.com/,,http://www.runnerspace.com/eprofile.php?event_id=325
Komen Race for the Cure - Indianapolis,Road Racing,April 18th 2015, United States,Indianapolis, Indiana,,http://www.komenindy.org/,,http://www.runnerspace.com/eprofile.php?event_id=322
Statesman Capitol 10k,Road Racing,April 12th 2015, United States,Austin, Texas,,http://www.statesman.com/s/cap10k/,,http://www.runnerspace.com/eprofile.php?event_id=287
Boston B.A.A. 5k and Invitational Mile,Road Racing,April 18th 2015, United States,Boston, Massachusetts,,http://www.baa.org/races/5k.aspx,,http://www.runnerspace.com/eprofile.php?event_id=6718
Dam to Dam,Road Racing,May 30th 2015, United States,Des Moines, Iowa,,http://www.damtodam.com/,,http://www.runnerspace.com/eprofile.php?event_id=7359
Soldier Field 10 Mile,Road Racing,May 23rd 2015, United States,Chicago, Illinois,,http://www.soldierfield10.com/,,http://www.runnerspace.com/eprofile.php?event_id=7357
Ottawa 10k Road Race,Road Racing,May 23rd 2015, Canada,Ottawa, Ontario,,http://www.ncm.ca,,http://www.runnerspace.com/eprofile.php?event_id=5356
Spring Lake 5 Mile,Road Racing,May 22nd 2015, United States,Spring Lake, New Jersey,,http://www.springlake5.org/,,http://www.runnerspace.com/eprofile.php?event_id=7358
Cursa El Corte Engles 11K,Road Racing,April 12th 2015, Spain,Barcelona,,,http://www.cursaelcorteingles.cat/,,http://www.runnerspace.com/eprofile.php?event_id=7349
Bay to Breakers 12k,Road Racing,May 17th 2015, United States,San Francisco, California,,http://www.baytobreakers.com/,,http://www.runnerspace.com/eprofile.php?event_id=237
Cursa Bombers,Road Racing,April 12th 2015, Spain,Barcelona,,,http://www.cursabombers.com,,http://www.runnerspace.com/eprofile.php?event_id=6897
Pear Blossom Run,Road Racing,April 11th 2015, United States,Medford, Oregon,,http://www.pearblossomrun.com/,,http://www.runnerspace.com/eprofile.php?event_id=909
Corvallis Half Marathon,Road Racing,April 12th 2015, United States,Corvallis, Oregon,,http://www.corvallishalfmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=4827
Beach to Bay Relay Marathon,Road Racing,May 16th 2015, Texas,Gulf Beach Access Road 6, Corpus Christi,,http://www.beachtobayrelay.com/,,http://www.runnerspace.com/eprofile.php?event_id=6872
Komen Race for the Cure - Philadelphia,Road Racing,May 10th 2015, United States,Philadelphia, Pennsylvania,,http://komenphiladelphia.org/,,http://www.runnerspace.com/eprofile.php?event_id=236
Crim Festival of Races,Road Racing,August 22nd 2015, United States,Flint, Michigan,,http://www.crim.org/,,http://www.runnerspace.com/eprofile.php?event_id=6717
Great Manchester Run 10k,Road Racing,May 10th 2015, United Kingdom,Manchester,,,http://www.greatrun.org/events/event.aspx?id=4,,http://www.runnerspace.com/eprofile.php?event_id=5351
Hood to Coast Relay,Road Racing,August 28th-29th 2015, United States,Portland to Seaside, Oregon,,http://www.hoodtocoast.com,,http://www.runnerspace.com/eprofile.php?event_id=169
Kentlands Lakelands 5k,Road Racing,August 29th 2015, United States,Gaithersburg, Maryland,,http://www.kentlands.org/5K/,,http://www.runnerspace.com/eprofile.php?event_id=294
Miles for Moffitt,Road Racing,May 10th 2015, United States,Tampa,,,http://www.milesformoffitt.com/,,http://www.runnerspace.com/eprofile.php?event_id=549
Falmouth Road Race,Road Racing,August 16th-17th 2015, United States,Falmouth, Massachusetts,,http://www.falmouthroadrace.com/,,http://www.runnerspace.com/eprofile.php?event_id=174
Great Ireland Run,Road Racing,April 11th 2015, Ireland,Dublin,,,http://www.greatirelandrun.org,,http://www.runnerspace.com/eprofile.php?event_id=5358
Scotland Run 10k,Road Racing,April 5th 2015, United States,New York, New York,,http://www.nyrr.org/races-and-events/2013/scotland-run-10k,,http://www.runnerspace.com/eprofile.php?event_id=226
Papa John's 10 Miler,Road Racing,April 4th 2015, United States,Louisville, Kentucky,,http://www.papajohns10miler.com/,,http://www.runnerspace.com/eprofile.php?event_id=225
America's Finest City Half Marathon,Road Racing,August 16th 2015, United States,San Diego, California,,http://www.afchalf.com/,,http://www.runnerspace.com/eprofile.php?event_id=176
BIG 25 Berlin,Road Racing,May 10th 2015, Germany,Berlin,,,http://www.berlin-laeuft.de/,,http://www.runnerspace.com/eprofile.php?event_id=3249
Easter Sun Run,Road Racing,April 4th 2015, United States,Wichita, Kansas,,http://www.eastersunrun.com/,,http://www.runnerspace.com/eprofile.php?event_id=276
Komen Race for the Cure - Global,Road Racing,May 9th 2015, United States,Washington, District Of Columbia,,http://globalrace.info-komen.org/site/PageServer?pagename=hq_gr_homepage,,http://www.runnerspace.com/eprofile.php?event_id=6749
Fifth Third River Bank Run 25k,Road Racing,May 9th 2015, United States,Grand Rapids,,,http://www.53riverbankrun.com/,,http://www.runnerspace.com/eprofile.php?event_id=334
City2Surf,Road Racing,August 9th 2015, Australia,Sydney,,,http://www.city2surf.com.au/,,http://www.runnerspace.com/eprofile.php?event_id=3837
Beach to Beacon 10K,Road Racing,August 2nd 2014, United States,Cape Elizabeth, Maine,,http://www.beach2beacon.org/,,http://www.runnerspace.com/eprofile.php?event_id=172
Komen Race for the Cure - Southern Nevada,Road Racing,May 5th 2015, United States,Las Vegas, Nevada,,http://www.komensouthernnevada.org/,,http://www.runnerspace.com/eprofile.php?event_id=234
Crescent City Classic,Road Racing,April 4th 2015, United States,New Orleans, Louisiana,,http://www.ccc10k.com/,,http://www.runnerspace.com/eprofile.php?event_id=273
Broad Street Run 10 Miler,Road Racing,May 3rd 2015, United States,Philadelphia, Pennsylvania,,http://www.broadstreetrun.com/,,http://www.runnerspace.com/eprofile.php?event_id=329
Boston B.A.A. 10k,Road Racing,June 21st 2015, United States,Boston, Massachusetts,,http://www.baa.org/races/10k.aspx,,http://www.runnerspace.com/eprofile.php?event_id=6567
Steamboat Classic,Road Racing,June 20th 2015, United States,Peoria, Illinois,,http://www.steamboatclassic.org/,,http://www.runnerspace.com/eprofile.php?event_id=7367
Greater Clarksburg 10K,Road Racing,June 20th 2015, United States,Clarksburg, Virginia,,http://www.greaterclarksburg10k.org/,,http://www.runnerspace.com/eprofile.php?event_id=7365
Shelter Island Run 10K,Road Racing,June 20th 2015, United States,Shelter Island, New York,,http://www.shelterislandrun.com/,,http://www.runnerspace.com/eprofile.php?event_id=7366
Corrida de Langueux 10k,Road Racing,June 13th 2015, France,Langueux,,,http://www.corrida-langueux.com/,,http://www.runnerspace.com/eprofile.php?event_id=5360
Bellin Run 10K,Road Racing,June 13th 2015, Wisconsin,744 S. Webster Ave, Green Bay,,http://www.bellinrun.com/,,http://www.runnerspace.com/eprofile.php?event_id=6873
Flora Women's Mini Marathon 10K,Road Racing,June 1st 2015, Ireland,Dublin,,,http://www.florawomensminimarathon.ie/,,http://www.runnerspace.com/eprofile.php?event_id=7360
Crazy 8s 8K,Road Racing,July 11th 2015, Tennessee,Ft. Henry Drive, Kingsport,,http://werunevents.com/crazy-8s/,,http://www.runnerspace.com/eprofile.php?event_id=6895
Festival of Miles,Track and Field,June 4th 2015, Missouri,4970 Oakland Ave, St Louis,,http://www.stlfestivalofmiles.com,,http://www.runnerspace.com/eprofile.php?event_id=6471
IAU World 24 Hour Run Championships,Ultra Running,April 11th-12th 2015, Netherlands,Steenbergen,,,http://www.iau-ultramarathon.org,,http://www.runnerspace.com/eprofile.php?event_id=9207
Aquafina Butte to Butte,,July 4th 2015,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=126
USATF Women's 10 km Championship - Official Website,,,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=2522
USATF 10 Mile Championships - Official Website,,,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=2520
.US National 12K,,,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=8644
USATF 5 km Championships - Official Website,,,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=2519
USATF 20 km Championships - Official Website,,,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=2518
Credit Union Cherry Blossom 10 Mile Run,,,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=230
USATF 1 Mile Road Championships - Official Website,,,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=2513
Park City Marathon and Half,,August 16th 2015, United States,Park City, Utah,,http://www.pcmarathon.com/,,http://www.runnerspace.com/eprofile.php?event_id=547
USATF 25 km Championships - Official Website,,,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=2514
USATF Men's 10 km Championship - Official Website,,,,,,,,,http://www.runnerspace.com/eprofile.php?event_id=2515
